creative,train,uid,music1,music2,music3,music4
HOUSE/CO06 MIKLOSI THINK YOU KNOW,1,Pjvo44arN_U,1,0,0,1
HOUSE/CO06 MIKLOSI WHEN,0,QCsTkaBqrco,0,1,0,0
HOUSE/CO06 ROMANOFF BARBARA HALL,1,W39ixEQCXEM,0,0,0,1
HOUSE/CO06 ROMANOFF COLLEGE,1,rmlr26FickY,0,1,0,0
HOUSE/CO06 ROMANOFF EVERY HOUR EVERY DOLLAR,1,mwLZjTRBXEo,0,0,1,1
HOUSE/CO06 ROMANOFF IF,1,Jy47aTBw9Gk,0,1,1,1
HOUSE/CO06 ROMANOFF KAREN,0,LDMWbJOiHvo,1,0,0,1
HOUSE/CO06 ROMANOFF PRETTY SIMPLE,1,FQLNaMyCi2k,0,1,0,0
HOUSE/CO07 COORS CAR,1,gtqt1NwbV2U,0,1,1,0
HOUSE/CO07 COORS PERLMUTTER EXTREME,0,jlS6MWGfo5Q,0,1,1,0
HOUSE/CO07 COORS PERLMUTTER'S RECORD IS SIMPLE,1,OuuXFoxYhSI,1,0,0,1
HOUSE/CO07 COORS THAT'S NOT ME,0,-MtJUPt-Lng,1,1,0,1
HOUSE/CO07 PERLMUTTER DEANNE AND CHAD STORY,1,Bowl1_miR0A,0,1,1,0
HOUSE/CT02 COURTNEY COMMITMENT,1,bGN7WhcgJt0,0,1,0,1
HOUSE/CT02 COURTNEY SUBMARINE CONSTRUCTION,1,JGfNRC-96lk,0,1,0,1
HOUSE/CT05 ESTY CHOICE TO MAKE,1,1yeBv63YI6w,1,0,1,1
HOUSE/CT05 ESTY MR AND MRS BUONANNI,1,CMaC3mWRlNs,0,0,1,1
HOUSE/CT05 ESTY ON THE BACKS OF THE ELDERLY,1,ScpFc8uqpNc,1,1,1,1
HOUSE/CT05 ESTY OUR MOM,1,3lrFgU5rN9A,0,1,0,0
HOUSE/CT05 ESTY PAID INTO IT,1,qkLhzINT_-s,1,0,0,1
HOUSE/CT05 ESTY PRO DEATH,1,xNw5Vr8Zdtk,0,1,0,1
HOUSE/CT05 ESTY RORABACK SMEAR NOT TRUE,1,5D3gvjEPJ8M,0,1,1,1
HOUSE/CT05 ESTY TOM CAMPBELL,1,NS95W2kzaEE,0,1,1,1
HOUSE/CT05 ESTY WAR NEVER LEAVES YOU,1,stXe38U3jis,0,0,1,1
HOUSE/CT05 ESTY WHEN WASHINGTON REPUBLICANS CALL,1,lrVJyrw6ZsA,1,1,0,1
HOUSE/CT05 GREENBERG BARKING,1,qtqaUQ_pApc,0,1,0,0
HOUSE/CT05 GREENBERG DISTURBING PATTERN,1,pouf82rk0U4,1,0,0,1
HOUSE/CT05 GREENBERG FAILURE,1,q-Lb0Y1qUJ0,1,0,0,1
HOUSE/CT05 GREENBERG THERE THEY GO AGAIN,1,KWGf5zsDJZM,0,1,0,0
HOUSE/FL02 FLDP&GRAHAM NORTH FLORIDA WAY,1,gq7u-VNuiCc,0,1,0,0
HOUSE/FL02 GRAHAM BELIEVE ME,1,Lax9m-6SYc4,0,1,0,0
HOUSE/FL02 GRAHAM DISHONESTY,1,2kiEoJk3oHU,1,0,0,1
HOUSE/FL02 GRAHAM IMPORTANT,1,Wbszxf7W2lw,0,1,1,1
HOUSE/FL02 GRAHAM NEGATIVE ADS SO FALSE,0,Q8sG3nupAss,0,1,0,0
HOUSE/FL02 GRAHAM ONE THING,1,_uK4pQfQoAI,0,1,0,0
HOUSE/FL02 GRAHAM TROUBLING,1,zMDmleXO0yc,0,0,1,1
HOUSE/FL02 LAWSON LOST EVERYTHING BIO,1,-4anziJalhA,0,1,1,1
HOUSE/FL02 LAWSON SOUTHERLAND TURNED HIS BACK ON WOMEN,1,P-QMpvzCsD4,1,0,1,1
HOUSE/FL02 LAWSON TALLAHASSEE DEMOCRAT,1,-rs8fTDbbC4,0,1,0,0
HOUSE/FL02 LAWSON&DCCC SOUTHERLAND OUT OF TOUCH,1,naM3SA8Z_fI,0,1,0,1
HOUSE/FL02 SOUTHERLAND MEET SAMANTHA,1,C1KwTMX7yPo,0,1,1,0
HOUSE/FL03 YOHO PIGS AT THE TROUGH REV,0,HkVG1StqOzQ,0,1,0,0
HOUSE/FL03 YOHO TED'LL DO WHAT'S RIGHT,1,toOoshlb_X0,0,1,0,0
HOUSE/FL09 GRAYSON AMERICAN FLAGS,1,cT76BX83cr8,0,1,0,0
HOUSE/FL12  BILIRAKIS WASHINGTON IN GRIDLOCK,1,UjRJMk1xMAQ,0,1,0,0
HOUSE/FL13 JOLLY PERSONAL,1,f1bBJOnnCcE,0,1,1,0
HOUSE/FL13 JOLLY THE DIFFERENCE,1,JIP30gkdiRE,1,0,0,0
HOUSE/FL13 JOLLY WHERE I STAND,1,LBEWQBIZTL4,0,1,0,0
HOUSE/FL16 BUCHANAN AMERICA'S CAN DO SPIRIT,1,TnpLH5w-0dY,0,1,0,1
HOUSE/FL16 FITZGERALD MIDDLE CLASS FAMILY LIKE MINE 60,1,jKpoHdVp9hE,1,1,0,1
HOUSE/FL16 FITZGERALD&DCCC ABSOLUTELY SICK,0,R2aWFhhapuo,0,1,0,0
HOUSE/FL18 MURPHY HAVEN'T STOPPED MOVING,0,05dXNSz7e3o,0,1,0,0
HOUSE/FL18 MURPHY INDIAN RIVER LAGOON,1,kWgycVI_uTA,0,1,1,0
HOUSE/FL18 MURPHY MY HOME,1,51sJkNhJTqE,0,1,1,0
HOUSE/FL18 MURPHY NUMBERS,1,ng0Lji1w8nM,0,1,1,0
HOUSE/FL18 MURPHY NUMBERS ARE MY THING,1,pPbvBFxlTOI,0,1,0,0
HOUSE/FL18 MURPHY RARE,1,KJOcgSL6EE4,0,1,0,0
HOUSE/FL18 MURPHY REALLY DELIVERS,1,fx6nkBCCsXI,0,1,0,0
HOUSE/FL18 MURPHY TIME OUT,1,td1KSZ4yqRw,0,1,0,0
HOUSE/FL18 MURPHY UNIQUE CHARACTER,0,hdDcnIMXPyY,0,1,0,0
HOUSE/FL18 MURPHY WE'RE ALL SUPPORTING PATRICK MURPHY,0,SdODyl-tFE0,0,1,0,0
HOUSE/FL18 MURPHY&DCCC TWICE,1,E06Ix1ogPSg,1,1,0,1
HOUSE/FL18 WEST ANGELA WEST,1,obsLfaEtT1A,0,1,0,1
HOUSE/FL18 WEST JUST GETTING STARTED 60,1,eqGlutCQNFA,0,1,0,0
HOUSE/FL18 WEST MURPHY A COWARD,1,RHK_BPiL7eE,1,0,0,1
HOUSE/FL19 CLAWSON BASKETBALL,1,ykJmlU1vsTg,0,1,0,0
HOUSE/FL22 FRANKEL HASNER NEVER ON OUR SIDE,1,wq7YNwezcCE,1,0,0,1
HOUSE/FL22 FRANKEL HASNER REAL,1,HZ5fEh6O-9I,1,0,0,1
HOUSE/FL22 FRANKEL KIDS LEARN BUT NOT LIKE THIS,1,bM4h8-In52A,1,0,1,1
HOUSE/FL22 FRANKEL MEDICARE FRAUD,1,gHdaGombNd0,0,1,0,1
HOUSE/FL22 FRANKEL SAID TWO YEARS AGO,0,xr2PwjeQS2Y,0,1,1,0
HOUSE/FL22 HASNER FRANKEL GOTTA GO,1,1qAYbJaapbI,1,0,0,0
HOUSE/FL22 HASNER IT'S ABOUT MATH,0,LqyHzYn9VkI,0,1,1,0
HOUSE/FL22 HASNER&NRCC FRANKEL CORRUPTION,1,L8tNGKF25xs,1,0,0,1
HOUSE/FL23 HARRINGTON FOR OVER THIRTY YEARS,1,uaNLp6pTl1Q,0,1,1,0
HOUSE/FL26 CURBELO MONEY AND CORRUPTION,1,RkG9NE9p7ok,0,1,0,0
HOUSE/FL26 GARCIA SOUTH FLORIDIANS,1,yWqbtfMM7-8,1,0,1,1
HOUSE/FL26 GARCIA TWO FACED CORPORATE LOBBYIST,1,tW-mErPLRX4,1,0,0,1
HOUSE/GA01 KINGSTON BALANCING THE BUDGET,1,TxnXztOs1xA,0,1,0,0
HOUSE/GA01 MESSINGER FOCUS RESOURCES,1,q4EqHA-1lQY,0,1,0,0
HOUSE/GA12 ALLEN BARROWS ATTACKS,1,rwGuXQak7x0,1,0,0,1
HOUSE/GA12 ALLEN CAUGHT LYING,1,Eb7BIIowx5E,1,0,0,1
HOUSE/GA12 ALLEN LIE OF THE YEAR,0,zBSOMhEjur4,0,1,0,0
HOUSE/GA12 ALLEN MESS,1,Q3Xj6OAJ4Mc,1,0,0,1
HOUSE/GA12 ALLEN SHAMEFUL ATTACK ADS,1,AM609j8lb8A,1,1,0,1
HOUSE/GA12 ALLEN WANTS OUR TRUST AGAIN,1,79j1jxny4SY,1,0,0,1
HOUSE/GA12 ALLEN WORST POLITICIANS,1,3-Pm6QQAAss,1,1,0,0
HOUSE/GA12 BARROW 85 PERCENT OF THE TIME,1,bL0gdqIUfkg,0,1,1,0
HOUSE/GA12 BARROW BEFORE THE VA SCANDAL,1,dGSNM7v-RYw,0,1,0,1
HOUSE/GA12 BARROW ENERGY INDEPENDENT,1,ARHyWdHI2ZA,0,1,0,0
HOUSE/GA12 BARROW GET A DOG,0,9pcHZ0Gx4K0,0,1,0,0
HOUSE/GA12 BARROW GET ANYTHING DONE,0,BKvzvEegbLQ,0,1,0,0
HOUSE/GA12 BARROW JOHNNY CROSBY,1,4sd71cvmtao,0,0,1,0
HOUSE/GA12 BARROW PORT OF SAVANNAH,0,ogaGZpdvBCg,0,1,0,0
HOUSE/HI01 DCCC&TAKAI CHAMPION FOR OUR FAMILIES,0,cPY7H8GRXw0,0,1,0,1
HOUSE/HI01 DCCC&TAKAI OUR VALUES,0,aiQ7y167qRM,0,1,0,0
HOUSE/HI01 HANABUSA DANIEL AKAKA ENDORSEMENT,0,iJXMR59ZH1A,0,1,0,0
HOUSE/HI01 HANABUSA DEDICATION,1,8f-E6zOBAw4,0,1,0,0
HOUSE/HI01 HANABUSA THIS ELECTION IS PIVOTAL,1,Ll1e4mAKXRQ,0,1,0,0
HOUSE/HI01 HANABUSA YOUR VOICE,1,XCX78YyJ1eM,0,1,0,0
HOUSE/HI01 TAKAI DAY AT THE BEACH,1,DvPFNVhQYbM,0,1,0,0
HOUSE/HI01 TAKAI FROM FDR TO LBJ,1,wquw_0GPJxo,0,1,0,0
HOUSE/HI01 TAKAI MY OPPONENT,1,42rYcIO5emA,1,1,0,0
HOUSE/HI01 TAKAI SWAM,1,TeBbu_aKYeE,0,1,0,0
HOUSE/HI01 TAKAI TAMMY DUCKWORTH,1,QWtWl8zLZeE,0,1,0,0
HOUSE/IA01 BLUM GREW UP,0,wyU9U-BSCPY,0,1,0,0
HOUSE/IA01 BLUM JANET,1,2zMou4-aXFo,0,1,0,0
HOUSE/IA01 BLUM MALCOLM STEWART,0,ikq1ODpxLn8,0,1,0,0
HOUSE/IA01 MURPHY 268 MILLIONAIRES,0,Rnmh2--XxWw,0,1,0,1
HOUSE/IA01 MURPHY BLACK AND WHITE,1,erYoIWh-toE,1,0,1,1
HOUSE/IA01 MURPHY SHARON,1,VmSkhHHihDI,0,0,1,1
HOUSE/IA01 NRCC&BLUM CHUCK GRASSLEY,1,u4Br_xWqNiE,0,1,0,0
HOUSE/IA02 ARCHER LOEBSACK GONE TOO FAR,1,ESewpV1pzV8,1,0,0,1
HOUSE/IA02 ARCHER NEXT GENERATION,1,q8tZOdGIjHA,1,1,0,1
HOUSE/IA02 DCCC&LOEBSACK OUTSOURCING,1,sPlNlna0Xeo,1,0,0,1
HOUSE/IA02 LOEBSACK ANOTHER JOB,0,y4LpqpQ5OY4,1,1,0,1
HOUSE/IA02 LOEBSACK ARCHER WHOA,1,y4Op6NofnHo,1,1,0,1
HOUSE/IA02 LOEBSACK DEPENDS ON MEDICARE,1,ktNqfjNegUY,0,0,1,1
HOUSE/IA02 LOEBSACK THESE DOORS,0,Uz2D_oQH4U0,0,1,0,0
HOUSE/IA02 LOEBSACK WHAT'S RIGHT,1,wGFfUpocfno,0,1,0,0
HOUSE/IA02 LOEBSACK&DCCC ARCHER UNFAIR TRADE,1,q9h6X8BeB-8,1,0,0,1
HOUSE/IA02 MILLER-MEEKS LOEBSACK VOTED FOR OBAMACARE,1,CDbuGrKOpXw,1,0,0,1
HOUSE/IA02 MILLER-MEEKS MARTY FORD,1,nCNxKdW3ZPo,0,1,0,0
HOUSE/IA02 MILLER-MEEKS PROMISED,1,QTRzC1ADFgs,1,0,0,1
HOUSE/IA03 APPEL DISTORTING MY RECORD,1,-t1KUdQ59vU,1,1,0,0
HOUSE/IA03 APPEL HARD WORK AND DETERMINATION,0,7pskhoYUWaY,0,1,0,1
HOUSE/IA03 APPEL IOWA INDEPENDENCE,0,COG1eM-U7HQ,0,1,0,0
HOUSE/IA03 APPEL LIKE ALL PARENTS,1,U8E6_o2JG1c,0,1,0,0
HOUSE/IA03 APPEL MESS IN WASHINGTON,1,kOyPsxUdXp8,1,1,0,1
HOUSE/IA03 APPEL NO SUPRISE,1,xmD6gahv2KA,1,0,0,1
HOUSE/IA03 APPEL POSING IN AN IOWA DINER,1,e8W3jCkVsXA,1,1,0,1
HOUSE/IA03 APPEL SIX CHILDREN,1,W2d9tXpt2ic,0,1,0,0
HOUSE/IA03 LATHAM BOSWELL ATTACKING,0,pmmpiq_JKt4,0,1,0,1
HOUSE/IA03 LATHAM BOSWELL LOOK AT HIS RECORD,1,qG37Cd4ye7A,1,1,1,1
HOUSE/IA03 LATHAM BOSWELL'S RECORD,0,SXBUTvljJrs,0,1,0,0
HOUSE/IA03 LATHAM BOSWELLS ALLIES,0,n89tbXzm3xA,0,1,1,1
HOUSE/IA03 LATHAM IN THE LAST FOUR YEARS,0,KgiQ92mvim8,0,1,1,1
HOUSE/IA03 LATHAM IOWA COMMON SENSE,1,9FgGwwUAHn8,0,1,0,1
HOUSE/IA03 LATHAM REAL WORLD CONSEQUENCES,1,cP9oQ-8lAxE,0,1,1,0
HOUSE/IA03 LATHAM SUSAN JAENKE KILLED IN IRAQ,1,Z1GZQd3mdsA,0,0,1,1
HOUSE/IA04 KING GREW UP,0,okLR3JXse_I,0,1,1,0
HOUSE/IA04 KING LAND 60,1,JWCXEgv5miE,0,1,0,0
HOUSE/IA04 KING MARILYN,1,97b5iet9LAE,0,1,0,0
HOUSE/IA04 KING ON THE BRINK,1,2r2HVEU2yck,1,1,1,1
HOUSE/IA04 KING ONLY GOOD THING LEFT,0,NxZRQbknP3g,0,1,1,1
HOUSE/IA04 KING TELL IT LIKE IT IS,0,4Vm46ipn0KU,0,1,1,0
HOUSE/IA04 KING THAT'S WHAT LIBERALS DO,1,VBNv3dQ7JDc,1,1,0,1
HOUSE/IA04 KING TRUTH,1,fXeYdWsDhDI,0,1,0,0
HOUSE/IA04 KING&NRCC LIKE HIM,1,GQlDxT5IBIQ,0,1,0,0
HOUSE/IA04 VILSACK 7 LAYER SALAD,1,mgReeVaG1CQ,0,1,0,0
HOUSE/IA04 VILSACK KING VOTED WITH THEM,1,FxJXpseWyac,0,1,1,1
HOUSE/IA04 VILSACK PROTECT,1,DyFItYWMbgw,1,1,1,1
HOUSE/IA04 VILSACK SPEAK,1,XLNQ1EM4iRo,0,0,1,1
HOUSE/IA04 VILSACK SPENT WHOLE LIFE AS TEACHER,1,3qzc77LCMqs,0,1,0,0
HOUSE/IA04 VILSACK&DCCC BILL CLINTON ENDORSEMENT,0,xcZDyOEdYrc,0,1,0,0
HOUSE/ID02 LEFAVOUR SET POLITICS ASIDE,0,toufttkEpZo,0,1,0,0
HOUSE/ID02 LEFAVOUR WORKED TO STOP BILLS,0,Hr6l5wHB7sw,0,1,0,0
HOUSE/ID02 SIMPSON MITT ROMNEY,0,I7JKVHu1pO4,0,1,0,0
HOUSE/IL08 DUCKWORTH GO SLOW,1,T5mBaMD4XH0,0,1,0,0
HOUSE/IL08 DUCKWORTH MY DAD WAS A PROUD MAN,1,O9L-19OQS04,0,1,0,0
HOUSE/IL10 DCCC&SCHNEIDER TRY THIS AGAIN,1,rFXuYFyGs_Q,1,0,0,1
HOUSE/IL10 DOLD DIRTY CAMPAIGN,1,Ovk5oQlU6UI,1,0,0,1
HOUSE/IL10 DOLD MARK KIRK,0,_Av3LQ0yYvE,1,0,0,1
HOUSE/IL10 SCHNEIDER TIRED OF POLITICAL ADS,0,PKEvBCcGsiE,0,1,1,0
HOUSE/IL11 FOSTER AS A KID,1,sHXVFcUFNSQ,0,1,0,1
HOUSE/IL11 FOSTER BIGGERT A WHOPPER,1,l_wHzEbaR64,0,0,1,1
HOUSE/IL11 FOSTER IF YOU LOOK AT THE FACTS,1,uMf83oi9ok8,0,1,1,1
HOUSE/IL11 FOSTER STRONG MIDDLE CLASS,1,KRoCsW4dwv8,1,0,1,1
HOUSE/IL12 ENYART LEAD,1,O_KjiGAJoBw,0,1,0,0
HOUSE/IL12 ENYART LEVEL,1,H4BFXlWyhSM,0,1,0,0
HOUSE/IL12 ENYART LOOKING OUT FOR OUR MIDDLE CLASS,1,hIG-9lj9jqk,1,0,1,1
HOUSE/IL12 ENYART SPRINGFIELD POLITICIAN MIKE BOST,0,xGEaf-yybS4,1,0,0,1
HOUSE/IL12 ENYART STARTED OUT AT CATERPILLAR,1,MILVA-CD-xg,0,1,0,1
HOUSE/IL12 ENYART THIS IS THE PROBLEM,1,4ufAJe2qWE4,1,0,0,1
HOUSE/IL12 ENYART&DCCC TRACK,1,YRGl0Yn_uDk,0,1,1,0
HOUSE/IL12 PLUMMER AT A CROSSROADS,1,VuVy6PA6xdY,1,1,0,0
HOUSE/IL12 PLUMMER CHOICES,1,nvURbRS5bJk,1,1,0,1
HOUSE/IL13 CALLIS AS A MOM AND A JUDGE,0,TGmqy0DC2Mc,0,1,1,0
HOUSE/IL13 CALLIS BACK HOME AND ALIVE,0,lft6hp6lKjw,0,1,1,0
HOUSE/IL13 CALLIS DAVIS WILL TELL YOU,1,H4I8napsVcA,1,0,0,1
HOUSE/IL13 CALLIS DO WHAT'S RIGHT,1,f2HRHC_b59Y,1,0,1,1
HOUSE/IL13 CALLIS GOOD GUYS,1,FidGQBg9Z0A,0,1,0,0
HOUSE/IL13 DAVIS CANCER,1,8ICV8oKgkEY,0,1,1,1
HOUSE/IL13 DAVIS DISHONEST CAMPAIGN,0,4OCbOxbZZVI,1,1,0,1
HOUSE/IL13 DAVIS FRUSTRATED,1,0l5HlzmS7bk,0,1,0,0
HOUSE/IL13 DAVIS HARRISON BELER,1,Jqw7rIKkVSI,0,0,1,0
HOUSE/IL13 DAVIS JOBS,1,Xikzcy9vxCA,1,1,0,1
HOUSE/IL13 DAVIS PART OF A TEAM,1,4Vdho_fn2X4,0,1,0,0
HOUSE/IL13 DAVIS TORYN DAVIS,1,YG6MVVJvFMI,0,1,0,0
HOUSE/IL13 DAVIS WASHINGTON ALLIES,1,PkStRnZNgTE,1,1,0,0
HOUSE/IL13 GILL ALL THE NASTY TV COMMERCIALS,1,FYKUoXymEM8,0,1,0,0
HOUSE/IL13 GILL DISHES,1,_6JwAA2Ak-Q,0,1,0,0
HOUSE/IL13 GILL POLLY,1,TH4tQAbMLGQ,0,0,1,1
HOUSE/IL13 GILL SPELL,1,j88Wy0oU7D0,0,0,1,1
HOUSE/IL13 GILL SUSAN,1,6R4ASYgfRAs,0,1,1,1
HOUSE/IL13 GILL&DCCC LEGALIZED BRIBERY,1,CSor1Zkn024,0,1,0,0
HOUSE/IL17 BUSTOS DISHONEST AND SHAMEFULLY MISLEADING,1,MbVXnKT0AGI,0,0,1,1
HOUSE/IL17 BUSTOS EVERY SINGLE PAYCHECK,1,y8whJSM32nY,0,0,1,1
HOUSE/IL17 BUSTOS GERRY,1,OxqfDuokxyg,0,1,0,0
HOUSE/IL17 BUSTOS HONOR GUARD,1,K2bC-guFzHM,0,1,0,0
HOUSE/IL17 BUSTOS SOME PEOPLE SEE,0,LArYhQCwa-Q,0,1,0,0
HOUSE/IL17 BUSTOS TOO MANY PEOPLE WORK HARD,1,THwCgUMMvS4,0,0,1,1
HOUSE/IL17 BUSTOS WASHINGTON RIGS THE GAME,1,V0GOI2HygaE,0,1,0,0
HOUSE/IL17 BUSTOS WILLIAM THOMAS AND KATE DELANEY,1,YcW1B1GmNYg,0,0,1,0
HOUSE/IL17 BUSTOS&DCCC COURT,1,ZWWjxSZVMpU,0,1,0,0
HOUSE/IL17 SCHILLING ACCOUNTABLE,1,_b3kW-vRjAg,1,0,0,1
HOUSE/IL17 SCHILLING LEADS BY EXAMPLE,1,wj-qJ1h0huc,0,1,0,0
HOUSE/IL17 SCHILLING LEADS BY EXAMPLE REV,1,l-lml1P02YA,0,1,0,0
HOUSE/IL17 SCHILLING LET'S GET REAL,1,QmnZePvKRgQ,0,1,0,1
HOUSE/IL17 SCHILLING MOTORCYCLE,1,Iq2F_45zDmI,1,1,0,1
HOUSE/IL17 SCHILLING RISKED OUR LIVES,1,Hek_A6fYtj0,1,0,0,0
HOUSE/IL17 SCHILLING WE HAVE TO SAVE MEDICARE,1,hwQ-PPbirAo,0,1,1,1
HOUSE/IL18 SCHOCK HELPS VETERANS,1,XXjdEewI_jg,0,1,0,0
HOUSE/IL18 SCHOCK WHY CONGRESS,1,Y2uMIwUnWGw,0,1,0,0
HOUSE/IN02 MULLEN FOR WHAT'S RIGHT,1,6Yg3y1jqSjw,1,1,0,1
HOUSE/IN02 MULLEN HIDDEN BEHIND THESE ADS,1,z12vTOUV-H0,1,1,1,1
HOUSE/IN02 MULLEN LUMBER YARD,1,eJFbvfb74Ec,0,1,0,1
HOUSE/IN02 MULLEN RUNNING,1,Nc-PZNhpOtM,0,1,0,1
HOUSE/IN02 MULLEN WASHINGTON BICKERING POLITICIANS,0,3NA1ZM1rH7A,0,1,0,1
HOUSE/IN02 MULLEN&IDCVC UP AGAINST,0,7sGbzfnNj1w,0,1,0,0
HOUSE/IN02 MULLEN&IDCVC WALORSKI TURNED HER BACK,0,gSWQiHmE3xY,1,1,0,1
HOUSE/IN02 WALORSKI AMERICA'S DEBT,1,aoUvGW-IUH8,1,1,0,0
HOUSE/IN02 WALORSKI BREAST CANCER,1,o3bouxK8LlU,0,0,1,1
HOUSE/IN02 WALORSKI COMMITMENT,1,XstHTSt0d8A,0,1,0,0
HOUSE/IN02 WALORSKI DC INSIDER,1,q6nuiTElf04,0,1,0,0
HOUSE/IN02 WALORSKI EVERY 9 SECONDS,0,2FeMvVZfVQI,0,1,1,0
HOUSE/IN02 WALORSKI FALSE ATTACKS,1,buRNAu7flVQ,1,1,1,1
HOUSE/IN02 WALORSKI HOOSIERS WEIGH IN,1,uPqSYa2QHLQ,1,0,0,0
HOUSE/IN02 WALORSKI LISA WILKEN,1,c8W85wUhZPs,0,1,1,0
HOUSE/IN02 WALORSKI MARTHA,1,fDzhbAlQM3w,0,1,0,0
HOUSE/IN02 WALORSKI MEDICAL DEVICES,1,DehY-fsyQDs,0,1,0,0
HOUSE/IN02 WALORSKI ON OUR SIDE,1,Bte-2itzfyk,1,1,1,0
HOUSE/IN02 WALORSKI ONE OF US,1,-mXLGUvh-u4,0,1,0,0
HOUSE/IN02 WALORSKI PROMISED,1,e8j9xjFsuzw,0,1,0,0
HOUSE/IN02 WALORSKI THE DIFFERENCE,0,45raGSWyez8,1,1,0,1
HOUSE/IN02 WALORSKI WORK ACROSS THE AISLE,0,zG7M1qmphgk,1,0,0,1
HOUSE/IN02 WALORSKI&NRCC AFTER FIVE YEARS,1,3hPPAWaN4rA,1,0,0,1
HOUSE/IN08 BUCSHON DEFIBRILLATOR,1,3X8moK3Q1HE,1,0,0,0
HOUSE/IN08 BUCSHON NOT A POLITICIAN,0,rYjSLvWiiuY,0,1,1,1
HOUSE/IN08 BUCSHON OATH,0,aSyJhccZnPw,0,1,1,0
HOUSE/IN08 BUCSHON SACRED,0,FQQ_AU146VA,1,0,0,1
HOUSE/IN08 CROOKS CHINA,0,m3YyKME0HlI,0,1,1,0
HOUSE/IN08 CROOKS DIFFERENCE ON JOBS,1,KGJYn5GBR-o,0,1,0,1
HOUSE/IN08 CROOKS HOOSIER STORY,0,2hCgdJnyKZ8,0,1,0,0
HOUSE/IN08 CROOKS HOW MANY YEARS,0,-uHww3NyRDA,0,0,1,1
HOUSE/IN08 CROOKS PAKISTAN DISGUSTING,1,KPKuBn9Abqo,0,0,1,1
HOUSE/IN08 CROOKS&DCCC ROMNEY AND OBAMA,1,OBBsIUiI3HM,1,0,1,1
HOUSE/IN09 YODER FOR GENERATIONS,1,tBR7m4syIMI,0,1,0,0
HOUSE/IN09 YODER YOUNG COMPROMISE DIRTY WORD,1,d2sVO21bNVU,1,1,0,1
HOUSE/IN09 YOUNG CALL IT OBAMACARE,1,kE9kaOhaJJ0,1,1,0,1
HOUSE/IN09 YOUNG THIS PLANT HELPED,0,96GizktJJGc,0,1,0,1
HOUSE/IN09 YOUNG YOU DON'T JUST HAVE A CONGRESSMAN,1,Each3d8gbVY,0,1,0,0
HOUSE/KS02 JENKINS 1 IN 5 AMERICANS,1,3Uw21yz86X0,0,1,1,1
HOUSE/KS02 JENKINS EVERY 9 SECONDS,1,WkvX1oJ8lU4,0,1,0,1
HOUSE/KS02 JENKINS MY WHOLE LIFE,1,RyUMxk6-D2E,0,1,0,0
HOUSE/KS03 YODER GOOD LEADERSHIP,1,UlZ5l_feDjg,0,1,1,0
HOUSE/KS03 YODER PROUD,1,kOFqeK3cjxQ,0,1,0,0
HOUSE/KS03 YODER SUPPORT US,1,ndTcYTEGlv0,0,1,0,0
HOUSE/KY06 BARR BETTER FUTURE,1,jmiihCCTPuE,0,1,0,0
HOUSE/KY06 BARR CAROL BARR,1,T5dYE3wIp34,0,1,0,0
HOUSE/KY06 BARR CHANDLER LIES TO KEEP HIS JOB,1,sJjJkjLryZw,1,0,0,1
HOUSE/KY06 BARR COAL MINERS SPEAK OUT,1,qi53_ma6Hd0,0,0,0,1
HOUSE/KY06 BARR DEVASTATING,1,LjYk6R4SHt0,0,0,1,0
HOUSE/KY06 BARR DISTORING FACTS,1,9xpEMxEVNGw,0,1,0,1
HOUSE/KY06 BARR DISTORTING THE FACTS,1,D4oeIF7FP08,1,1,0,1
HOUSE/KY06 BARR I'VE SAID FOR WEEKS NOW 60,1,_9N5UjN3n34,0,1,1,0
HOUSE/KY06 BARR MADE A MISTAKE IT WAS DUMB,1,s3eKepOKCFs,0,1,0,0
HOUSE/KY06 BARR SAVES IT,1,esCXucIlU-8,0,1,0,0
HOUSE/KY06 BARR SMALL BUSINESSES,1,2KMbRsHt5Vg,0,1,0,0
HOUSE/KY06 BARR SOME SCARS,1,sgp0bhFrC9I,0,1,0,0
HOUSE/KY06 BARR TEACHING OUR GIRLS,1,9BinLiMgHK0,0,1,0,0
HOUSE/KY06 BARR THOMAS RICHARDS,1,7qlq8881KSA,0,1,0,0
HOUSE/KY06 BARR WASHINGTON IS BROKEN,1,EMZQMmM7nQ0,1,1,0,1
HOUSE/KY06 BARR&NRCC ECONOMY STRUGGLING,0,bB0QrShwGKM,0,1,0,0
HOUSE/KY06 CHANDLER BARR WHAT'S REALLY DUMB,1,TMstSkLZZcY,1,0,0,1
HOUSE/KY06 CHANDLER BELIEF,1,RaA3R1Zr4fM,0,1,1,0
HOUSE/KY06 CHANDLER BICKERING KIDS,1,Hu2Xyv-hfBY,0,1,0,0
HOUSE/KY06 CHANDLER BIG LIE,1,Nbv2lfWrnWc,0,1,0,0
HOUSE/KY06 CHANDLER BOB ORBACH,1,9zEWzAF0B98,1,0,1,1
HOUSE/KY06 CHANDLER GINGER SANDERS,1,bMWAh-enazU,1,0,1,1
HOUSE/KY06 CHANDLER HAPPY CHANDLER ALWAYS LOOKED OUT,1,lztvxPhCUfM,0,1,1,0
HOUSE/KY06 CHANDLER JOBS AT RISK,0,mYsGOCxR8wk,0,1,0,0
HOUSE/KY06 CHANDLER PROBLEM,1,inAhj737QMk,1,0,0,1
