creative,uid,train,music1,music2,music3,music4
HOUSE/CO06 MIKLOSI THINK YOU KNOW,Pjvo44arN_U,1,1,0,0,1
HOUSE/CO06 MIKLOSI WHEN,QCsTkaBqrco,0,0,1,0,0
HOUSE/CO06 ROMANOFF BARBARA HALL,W39ixEQCXEM,1,0,0,1,1
HOUSE/CO06 ROMANOFF COLLEGE,rmlr26FickY,1,0,1,0,0
HOUSE/CO06 ROMANOFF EVERY HOUR EVERY DOLLAR,mwLZjTRBXEo,1,0,0,1,1
HOUSE/CO06 ROMANOFF IF,Jy47aTBw9Gk,1,0,1,1,1
HOUSE/CO06 ROMANOFF KAREN,LDMWbJOiHvo,0,1,0,0,1
HOUSE/CO06 ROMANOFF PRETTY SIMPLE,FQLNaMyCi2k,1,0,1,0,0
HOUSE/CO07 COORS CAR,gtqt1NwbV2U,1,0,1,1,0
HOUSE/CO07 COORS PERLMUTTER EXTREME,jlS6MWGfo5Q,0,0,1,1,0
HOUSE/CO07 COORS PERLMUTTER'S RECORD IS SIMPLE,OuuXFoxYhSI,1,1,0,0,1
HOUSE/CO07 COORS THAT'S NOT ME,-MtJUPt-Lng,0,1,1,0,1
HOUSE/CO07 PERLMUTTER DEANNE AND CHAD STORY,Bowl1_miR0A,1,0,1,1,0
HOUSE/CT02 COURTNEY COMMITMENT,bGN7WhcgJt0,1,0,1,0,1
HOUSE/CT02 COURTNEY SUBMARINE CONSTRUCTION,JGfNRC-96lk,1,0,1,0,1
HOUSE/CT05 ESTY CHOICE TO MAKE,1yeBv63YI6w,1,1,0,1,1
HOUSE/CT05 ESTY MR AND MRS BUONANNI,CMaC3mWRlNs,1,0,0,1,1
HOUSE/CT05 ESTY ON THE BACKS OF THE ELDERLY,ScpFc8uqpNc,1,1,1,1,1
HOUSE/CT05 ESTY OUR MOM,3lrFgU5rN9A,1,0,1,0,0
HOUSE/CT05 ESTY PAID INTO IT,qkLhzINT_-s,1,1,0,0,1
HOUSE/CT05 ESTY PRO DEATH,xNw5Vr8Zdtk,1,0,1,0,1
HOUSE/CT05 ESTY RORABACK SMEAR NOT TRUE,5D3gvjEPJ8M,1,0,1,1,1
HOUSE/CT05 ESTY TOM CAMPBELL,NS95W2kzaEE,1,0,1,1,1
HOUSE/CT05 ESTY WAR NEVER LEAVES YOU,stXe38U3jis,1,0,0,0,1
HOUSE/CT05 ESTY WHEN WASHINGTON REPUBLICANS CALL,lrVJyrw6ZsA,1,1,1,0,1
HOUSE/CT05 GREENBERG BARKING,qtqaUQ_pApc,1,0,1,0,0
HOUSE/CT05 GREENBERG DISTURBING PATTERN,pouf82rk0U4,1,1,0,0,1
HOUSE/CT05 GREENBERG FAILURE,q-Lb0Y1qUJ0,1,1,0,0,1
HOUSE/CT05 GREENBERG THERE THEY GO AGAIN,KWGf5zsDJZM,1,0,1,0,0
HOUSE/FL02 FLDP&GRAHAM NORTH FLORIDA WAY,gq7u-VNuiCc,1,0,1,0,0
HOUSE/FL02 GRAHAM BELIEVE ME,Lax9m-6SYc4,1,0,1,0,0
HOUSE/FL02 GRAHAM DISHONESTY,2kiEoJk3oHU,1,1,0,0,1
HOUSE/FL02 GRAHAM IMPORTANT,Wbszxf7W2lw,1,0,1,1,1
HOUSE/FL02 GRAHAM NEGATIVE ADS SO FALSE,Q8sG3nupAss,0,0,1,0,0
HOUSE/FL02 GRAHAM ONE THING,_uK4pQfQoAI,1,0,1,0,0
HOUSE/FL02 GRAHAM TROUBLING,zMDmleXO0yc,1,0,0,1,1
HOUSE/FL02 LAWSON LOST EVERYTHING BIO,-4anziJalhA,1,1,1,1,1
HOUSE/FL02 LAWSON SOUTHERLAND TURNED HIS BACK ON WOMEN,P-QMpvzCsD4,1,1,0,1,1
HOUSE/FL02 LAWSON TALLAHASSEE DEMOCRAT,-rs8fTDbbC4,1,0,1,0,0
HOUSE/FL02 LAWSON&DCCC SOUTHERLAND OUT OF TOUCH,naM3SA8Z_fI,1,0,1,0,1
HOUSE/FL02 SOUTHERLAND MEET SAMANTHA,C1KwTMX7yPo,1,0,1,1,0
HOUSE/FL03 YOHO PIGS AT THE TROUGH REV,HkVG1StqOzQ,0,0,1,0,0
HOUSE/FL03 YOHO TED'LL DO WHAT'S RIGHT,toOoshlb_X0,1,0,1,0,0
HOUSE/FL09 GRAYSON AMERICAN FLAGS,cT76BX83cr8,1,0,1,0,0
HOUSE/FL12  BILIRAKIS WASHINGTON IN GRIDLOCK,UjRJMk1xMAQ,1,0,1,0,0
HOUSE/FL13 JOLLY PERSONAL,f1bBJOnnCcE,1,0,1,1,0
HOUSE/FL13 JOLLY THE DIFFERENCE,JIP30gkdiRE,1,1,0,0,0
HOUSE/FL13 JOLLY WHERE I STAND,LBEWQBIZTL4,1,0,1,0,0
HOUSE/FL16 BUCHANAN AMERICA'S CAN DO SPIRIT,TnpLH5w-0dY,1,0,1,0,1
HOUSE/FL16 FITZGERALD MIDDLE CLASS FAMILY LIKE MINE 60,jKpoHdVp9hE,1,1,1,0,0
HOUSE/FL16 FITZGERALD&DCCC ABSOLUTELY SICK,R2aWFhhapuo,0,0,1,0,0
HOUSE/FL18 MURPHY HAVEN'T STOPPED MOVING,05dXNSz7e3o,0,0,1,0,0
HOUSE/FL18 MURPHY INDIAN RIVER LAGOON,kWgycVI_uTA,1,0,1,1,0
HOUSE/FL18 MURPHY MY HOME,51sJkNhJTqE,1,0,1,1,0
HOUSE/FL18 MURPHY NUMBERS,ng0Lji1w8nM,1,0,1,1,0
HOUSE/FL18 MURPHY NUMBERS ARE MY THING,pPbvBFxlTOI,1,0,1,0,0
HOUSE/FL18 MURPHY RARE,KJOcgSL6EE4,1,0,1,0,1
HOUSE/FL18 MURPHY REALLY DELIVERS,fx6nkBCCsXI,1,0,1,0,0
HOUSE/FL18 MURPHY TIME OUT,td1KSZ4yqRw,1,0,1,0,0
HOUSE/FL18 MURPHY UNIQUE CHARACTER,hdDcnIMXPyY,0,0,1,0,0
HOUSE/FL18 MURPHY WE'RE ALL SUPPORTING PATRICK MURPHY,SdODyl-tFE0,0,0,1,0,0
HOUSE/FL18 MURPHY&DCCC TWICE,E06Ix1ogPSg,1,1,1,0,1
HOUSE/FL18 WEST ANGELA WEST,obsLfaEtT1A,1,0,1,0,1
HOUSE/FL18 WEST JUST GETTING STARTED 60,eqGlutCQNFA,1,0,1,0,0
HOUSE/FL18 WEST MURPHY A COWARD,RHK_BPiL7eE,1,1,0,0,1
HOUSE/FL19 CLAWSON BASKETBALL,ykJmlU1vsTg,1,0,1,0,0
HOUSE/FL22 FRANKEL HASNER NEVER ON OUR SIDE,wq7YNwezcCE,1,1,0,0,1
HOUSE/FL22 FRANKEL HASNER REAL,HZ5fEh6O-9I,1,1,0,0,1
HOUSE/FL22 FRANKEL KIDS LEARN BUT NOT LIKE THIS,bM4h8-In52A,1,1,0,1,1
HOUSE/FL22 FRANKEL MEDICARE FRAUD,gHdaGombNd0,1,0,1,0,1
HOUSE/FL22 FRANKEL SAID TWO YEARS AGO,xr2PwjeQS2Y,0,0,1,1,0
HOUSE/FL22 HASNER FRANKEL GOTTA GO,1qAYbJaapbI,1,1,0,0,0
HOUSE/FL22 HASNER IT'S ABOUT MATH,LqyHzYn9VkI,0,0,1,1,0
HOUSE/FL22 HASNER&NRCC FRANKEL CORRUPTION,L8tNGKF25xs,1,1,0,0,1
HOUSE/FL23 HARRINGTON FOR OVER THIRTY YEARS,uaNLp6pTl1Q,1,0,1,1,0
HOUSE/FL26 CURBELO MONEY AND CORRUPTION,RkG9NE9p7ok,1,0,1,0,0
HOUSE/FL26 GARCIA SOUTH FLORIDIANS,yWqbtfMM7-8,1,1,0,1,1
HOUSE/FL26 GARCIA TWO FACED CORPORATE LOBBYIST,tW-mErPLRX4,1,1,0,0,1
HOUSE/GA01 KINGSTON BALANCING THE BUDGET,TxnXztOs1xA,1,0,1,0,0
HOUSE/GA01 MESSINGER FOCUS RESOURCES,q4EqHA-1lQY,1,0,1,0,0
HOUSE/GA12 ALLEN BARROWS ATTACKS,rwGuXQak7x0,1,1,0,0,1
HOUSE/GA12 ALLEN CAUGHT LYING,Eb7BIIowx5E,1,1,0,0,1
HOUSE/GA12 ALLEN LIE OF THE YEAR,zBSOMhEjur4,0,0,1,0,0
HOUSE/GA12 ALLEN MESS,Q3Xj6OAJ4Mc,1,1,0,0,1
HOUSE/GA12 ALLEN SHAMEFUL ATTACK ADS,AM609j8lb8A,1,1,1,0,1
HOUSE/GA12 ALLEN WANTS OUR TRUST AGAIN,79j1jxny4SY,1,1,0,0,1
HOUSE/GA12 ALLEN WORST POLITICIANS,3-Pm6QQAAss,1,1,1,0,0
HOUSE/GA12 BARROW 85 PERCENT OF THE TIME,bL0gdqIUfkg,1,0,1,1,0
HOUSE/GA12 BARROW BEFORE THE VA SCANDAL,dGSNM7v-RYw,1,0,1,0,1
HOUSE/GA12 BARROW ENERGY INDEPENDENT,ARHyWdHI2ZA,1,0,1,0,0
HOUSE/GA12 BARROW GET A DOG,9pcHZ0Gx4K0,0,0,1,0,0
HOUSE/GA12 BARROW GET ANYTHING DONE,BKvzvEegbLQ,0,0,1,0,0
HOUSE/GA12 BARROW JOHNNY CROSBY,4sd71cvmtao,1,0,0,1,0
HOUSE/GA12 BARROW PORT OF SAVANNAH,ogaGZpdvBCg,0,0,1,0,0
HOUSE/HI01 DCCC&TAKAI CHAMPION FOR OUR FAMILIES,cPY7H8GRXw0,0,0,1,0,1
HOUSE/HI01 DCCC&TAKAI OUR VALUES,aiQ7y167qRM,0,0,1,0,0
HOUSE/HI01 HANABUSA DANIEL AKAKA ENDORSEMENT,iJXMR59ZH1A,0,0,1,0,0
HOUSE/HI01 HANABUSA DEDICATION,8f-E6zOBAw4,1,0,1,0,0
HOUSE/HI01 HANABUSA THIS ELECTION IS PIVOTAL,Ll1e4mAKXRQ,1,0,1,0,0
HOUSE/HI01 HANABUSA YOUR VOICE,XCX78YyJ1eM,1,0,1,0,0
HOUSE/HI01 TAKAI DAY AT THE BEACH,DvPFNVhQYbM,1,0,1,0,0
HOUSE/HI01 TAKAI FROM FDR TO LBJ,wquw_0GPJxo,1,0,1,0,0
HOUSE/HI01 TAKAI MY OPPONENT,42rYcIO5emA,1,1,1,0,0
HOUSE/HI01 TAKAI SWAM,TeBbu_aKYeE,1,0,1,0,0
HOUSE/HI01 TAKAI TAMMY DUCKWORTH,QWtWl8zLZeE,1,0,1,0,0
HOUSE/IA01 BLUM GREW UP,wyU9U-BSCPY,0,0,1,0,0
HOUSE/IA01 BLUM JANET,2zMou4-aXFo,1,0,1,0,0
HOUSE/IA01 BLUM MALCOLM STEWART,ikq1ODpxLn8,0,0,1,0,0
HOUSE/IA01 MURPHY 268 MILLIONAIRES,Rnmh2--XxWw,0,0,1,0,1
HOUSE/IA01 MURPHY BLACK AND WHITE,erYoIWh-toE,1,1,0,1,1
HOUSE/IA01 MURPHY SHARON,VmSkhHHihDI,1,0,0,1,1
HOUSE/IA01 NRCC&BLUM CHUCK GRASSLEY,u4Br_xWqNiE,1,0,1,0,0
HOUSE/IA02 ARCHER LOEBSACK GONE TOO FAR,ESewpV1pzV8,1,1,0,0,1
HOUSE/IA02 ARCHER NEXT GENERATION,q8tZOdGIjHA,1,1,1,0,1
HOUSE/IA02 DCCC&LOEBSACK OUTSOURCING,sPlNlna0Xeo,1,1,0,0,1
HOUSE/IA02 LOEBSACK ANOTHER JOB,y4LpqpQ5OY4,0,1,1,0,1
HOUSE/IA02 LOEBSACK ARCHER WHOA,y4Op6NofnHo,1,1,1,0,1
HOUSE/IA02 LOEBSACK DEPENDS ON MEDICARE,ktNqfjNegUY,1,0,0,1,1
HOUSE/IA02 LOEBSACK THESE DOORS,Uz2D_oQH4U0,0,0,1,0,0
HOUSE/IA02 LOEBSACK WHAT'S RIGHT,wGFfUpocfno,1,0,1,0,0
HOUSE/IA02 LOEBSACK&DCCC ARCHER UNFAIR TRADE,q9h6X8BeB-8,1,1,0,0,1
HOUSE/IA02 MILLER-MEEKS LOEBSACK VOTED FOR OBAMACARE,CDbuGrKOpXw,1,1,0,0,1
HOUSE/IA02 MILLER-MEEKS MARTY FORD,nCNxKdW3ZPo,1,0,1,0,0
HOUSE/IA02 MILLER-MEEKS PROMISED,QTRzC1ADFgs,1,1,0,0,1
HOUSE/IA03 APPEL DISTORTING MY RECORD,-t1KUdQ59vU,1,1,1,0,0
HOUSE/IA03 APPEL HARD WORK AND DETERMINATION,7pskhoYUWaY,0,0,1,0,1
HOUSE/IA03 APPEL IOWA INDEPENDENCE,COG1eM-U7HQ,0,0,1,0,0
HOUSE/IA03 APPEL LIKE ALL PARENTS,U8E6_o2JG1c,1,0,1,0,0
HOUSE/IA03 APPEL MESS IN WASHINGTON,kOyPsxUdXp8,1,1,1,0,1
HOUSE/IA03 APPEL NO SUPRISE,xmD6gahv2KA,1,1,0,0,1
HOUSE/IA03 APPEL POSING IN AN IOWA DINER,e8W3jCkVsXA,1,1,1,0,1
HOUSE/IA03 APPEL SIX CHILDREN,W2d9tXpt2ic,1,0,1,0,0
HOUSE/IA03 LATHAM BOSWELL ATTACKING,pmmpiq_JKt4,0,0,1,0,1
HOUSE/IA03 LATHAM BOSWELL LOOK AT HIS RECORD,qG37Cd4ye7A,1,1,1,1,1
HOUSE/IA03 LATHAM BOSWELL'S RECORD,SXBUTvljJrs,0,0,1,0,0
HOUSE/IA03 LATHAM BOSWELLS ALLIES,n89tbXzm3xA,0,0,1,1,1
HOUSE/IA03 LATHAM IN THE LAST FOUR YEARS,KgiQ92mvim8,0,0,1,1,1
HOUSE/IA03 LATHAM IOWA COMMON SENSE,9FgGwwUAHn8,1,0,1,0,1
HOUSE/IA03 LATHAM REAL WORLD CONSEQUENCES,cP9oQ-8lAxE,1,0,1,1,0
HOUSE/IA03 LATHAM SUSAN JAENKE KILLED IN IRAQ,Z1GZQd3mdsA,1,0,0,1,1
HOUSE/IA04 KING GREW UP,okLR3JXse_I,0,0,1,1,0
HOUSE/IA04 KING LAND 60,JWCXEgv5miE,1,0,1,0,0
HOUSE/IA04 KING MARILYN,97b5iet9LAE,1,0,1,0,0
HOUSE/IA04 KING ON THE BRINK,2r2HVEU2yck,1,1,1,1,1
HOUSE/IA04 KING ONLY GOOD THING LEFT,NxZRQbknP3g,0,1,1,1,1
HOUSE/IA04 KING TELL IT LIKE IT IS,4Vm46ipn0KU,0,0,1,1,0
HOUSE/IA04 KING THAT'S WHAT LIBERALS DO,VBNv3dQ7JDc,1,1,1,0,1
HOUSE/IA04 KING TRUTH,fXeYdWsDhDI,1,0,1,0,0
HOUSE/IA04 KING&NRCC LIKE HIM,GQlDxT5IBIQ,1,0,1,0,0
HOUSE/IA04 VILSACK 7 LAYER SALAD,mgReeVaG1CQ,1,0,1,0,0
HOUSE/IA04 VILSACK KING VOTED WITH THEM,FxJXpseWyac,1,0,1,1,1
HOUSE/IA04 VILSACK PROTECT,DyFItYWMbgw,1,1,1,1,1
HOUSE/IA04 VILSACK SPEAK,XLNQ1EM4iRo,1,0,0,1,1
HOUSE/IA04 VILSACK SPENT WHOLE LIFE AS TEACHER,3qzc77LCMqs,1,0,1,0,0
HOUSE/IA04 VILSACK&DCCC BILL CLINTON ENDORSEMENT,xcZDyOEdYrc,0,0,1,0,0
HOUSE/ID02 LEFAVOUR SET POLITICS ASIDE,toufttkEpZo,0,0,1,0,1
HOUSE/ID02 LEFAVOUR WORKED TO STOP BILLS,Hr6l5wHB7sw,0,0,1,0,0
HOUSE/ID02 SIMPSON MITT ROMNEY,I7JKVHu1pO4,0,0,1,0,0
HOUSE/IL08 DUCKWORTH GO SLOW,T5mBaMD4XH0,1,0,1,0,0
HOUSE/IL08 DUCKWORTH MY DAD WAS A PROUD MAN,O9L-19OQS04,1,0,1,0,0
HOUSE/IL10 DCCC&SCHNEIDER TRY THIS AGAIN,rFXuYFyGs_Q,1,1,0,0,1
HOUSE/IL10 DOLD DIRTY CAMPAIGN,Ovk5oQlU6UI,1,1,0,0,1
HOUSE/IL10 DOLD MARK KIRK,_Av3LQ0yYvE,0,1,0,0,1
HOUSE/IL10 SCHNEIDER TIRED OF POLITICAL ADS,PKEvBCcGsiE,0,0,1,1,0
HOUSE/IL11 FOSTER AS A KID,sHXVFcUFNSQ,1,0,1,0,1
HOUSE/IL11 FOSTER BIGGERT A WHOPPER,l_wHzEbaR64,1,0,0,1,1
HOUSE/IL11 FOSTER IF YOU LOOK AT THE FACTS,uMf83oi9ok8,1,0,1,1,1
HOUSE/IL11 FOSTER STRONG MIDDLE CLASS,KRoCsW4dwv8,1,1,0,1,1
HOUSE/IL12 ENYART LEAD,O_KjiGAJoBw,1,0,1,0,0
HOUSE/IL12 ENYART LEVEL,H4BFXlWyhSM,1,0,1,0,0
HOUSE/IL12 ENYART LOOKING OUT FOR OUR MIDDLE CLASS,hIG-9lj9jqk,1,1,0,1,1
HOUSE/IL12 ENYART SPRINGFIELD POLITICIAN MIKE BOST,xGEaf-yybS4,0,1,0,0,1
HOUSE/IL12 ENYART STARTED OUT AT CATERPILLAR,MILVA-CD-xg,1,0,1,0,1
HOUSE/IL12 ENYART THIS IS THE PROBLEM,4ufAJe2qWE4,1,1,0,0,1
HOUSE/IL12 ENYART&DCCC TRACK,YRGl0Yn_uDk,1,0,1,1,0
HOUSE/IL12 PLUMMER AT A CROSSROADS,VuVy6PA6xdY,1,1,1,0,0
HOUSE/IL12 PLUMMER CHOICES,nvURbRS5bJk,1,1,1,0,1
HOUSE/IL13 CALLIS AS A MOM AND A JUDGE,TGmqy0DC2Mc,0,0,1,1,0
HOUSE/IL13 CALLIS BACK HOME AND ALIVE,lft6hp6lKjw,0,0,1,1,0
HOUSE/IL13 CALLIS DAVIS WILL TELL YOU,H4I8napsVcA,1,1,0,0,1
HOUSE/IL13 CALLIS DO WHAT'S RIGHT,f2HRHC_b59Y,1,1,0,1,1
HOUSE/IL13 CALLIS GOOD GUYS,FidGQBg9Z0A,1,0,1,0,0
HOUSE/IL13 DAVIS CANCER,8ICV8oKgkEY,1,0,1,1,1
HOUSE/IL13 DAVIS DISHONEST CAMPAIGN,4OCbOxbZZVI,0,1,1,0,1
HOUSE/IL13 DAVIS FRUSTRATED,0l5HlzmS7bk,1,0,1,0,0
HOUSE/IL13 DAVIS HARRISON BELER,Jqw7rIKkVSI,1,0,0,1,0
HOUSE/IL13 DAVIS JOBS,Xikzcy9vxCA,1,1,1,0,1
HOUSE/IL13 DAVIS PART OF A TEAM,4Vdho_fn2X4,1,0,1,0,0
HOUSE/IL13 DAVIS TORYN DAVIS,YG6MVVJvFMI,1,0,1,0,0
HOUSE/IL13 DAVIS WASHINGTON ALLIES,PkStRnZNgTE,1,1,1,0,0
HOUSE/IL13 GILL ALL THE NASTY TV COMMERCIALS,FYKUoXymEM8,1,0,1,0,0
HOUSE/IL13 GILL DISHES,_6JwAA2Ak-Q,1,0,1,0,0
HOUSE/IL13 GILL POLLY,TH4tQAbMLGQ,1,0,0,0,1
HOUSE/IL13 GILL SPELL,j88Wy0oU7D0,1,0,0,1,1
HOUSE/IL13 GILL SUSAN,6R4ASYgfRAs,1,0,1,1,1
HOUSE/IL13 GILL&DCCC LEGALIZED BRIBERY,CSor1Zkn024,1,0,1,0,0
HOUSE/IL17 BUSTOS DISHONEST AND SHAMEFULLY MISLEADING,MbVXnKT0AGI,1,0,0,1,1
HOUSE/IL17 BUSTOS EVERY SINGLE PAYCHECK,y8whJSM32nY,1,0,0,1,1
HOUSE/IL17 BUSTOS GERRY,OxqfDuokxyg,1,0,1,0,0
HOUSE/IL17 BUSTOS HONOR GUARD,K2bC-guFzHM,1,0,1,0,0
HOUSE/IL17 BUSTOS SOME PEOPLE SEE,LArYhQCwa-Q,0,0,1,0,0
HOUSE/IL17 BUSTOS TOO MANY PEOPLE WORK HARD,THwCgUMMvS4,1,0,0,1,1
HOUSE/IL17 BUSTOS WASHINGTON RIGS THE GAME,V0GOI2HygaE,1,0,1,0,0
HOUSE/IL17 BUSTOS WILLIAM THOMAS AND KATE DELANEY,YcW1B1GmNYg,1,0,0,1,0
HOUSE/IL17 BUSTOS&DCCC COURT,ZWWjxSZVMpU,1,0,1,0,0
HOUSE/IL17 SCHILLING ACCOUNTABLE,_b3kW-vRjAg,1,1,0,0,1
HOUSE/IL17 SCHILLING LEADS BY EXAMPLE,wj-qJ1h0huc,1,0,1,0,0
HOUSE/IL17 SCHILLING LEADS BY EXAMPLE REV,l-lml1P02YA,1,0,1,0,0
HOUSE/IL17 SCHILLING LET'S GET REAL,QmnZePvKRgQ,1,1,1,0,1
HOUSE/IL17 SCHILLING MOTORCYCLE,Iq2F_45zDmI,1,1,1,0,1
HOUSE/IL17 SCHILLING RISKED OUR LIVES,Hek_A6fYtj0,1,1,0,0,0
HOUSE/IL17 SCHILLING WE HAVE TO SAVE MEDICARE,hwQ-PPbirAo,1,0,1,1,1
HOUSE/IL18 SCHOCK HELPS VETERANS,XXjdEewI_jg,1,0,1,0,0
HOUSE/IL18 SCHOCK WHY CONGRESS,Y2uMIwUnWGw,1,0,1,0,0
HOUSE/IN02 MULLEN FOR WHAT'S RIGHT,6Yg3y1jqSjw,1,1,1,0,1
HOUSE/IN02 MULLEN HIDDEN BEHIND THESE ADS,z12vTOUV-H0,1,1,1,1,1
HOUSE/IN02 MULLEN LUMBER YARD,eJFbvfb74Ec,1,0,1,0,1
HOUSE/IN02 MULLEN RUNNING,Nc-PZNhpOtM,1,0,1,0,1
HOUSE/IN02 MULLEN WASHINGTON BICKERING POLITICIANS,3NA1ZM1rH7A,0,0,1,0,1
HOUSE/IN02 MULLEN&IDCVC UP AGAINST,7sGbzfnNj1w,0,0,1,0,0
HOUSE/IN02 MULLEN&IDCVC WALORSKI TURNED HER BACK,gSWQiHmE3xY,0,1,1,0,1
HOUSE/IN02 WALORSKI AMERICA'S DEBT,aoUvGW-IUH8,1,1,1,0,0
HOUSE/IN02 WALORSKI BREAST CANCER,o3bouxK8LlU,1,0,0,1,1
HOUSE/IN02 WALORSKI COMMITMENT,XstHTSt0d8A,1,0,1,0,0
HOUSE/IN02 WALORSKI DC INSIDER,q6nuiTElf04,1,0,1,0,0
HOUSE/IN02 WALORSKI EVERY 9 SECONDS,2FeMvVZfVQI,0,0,1,1,0
HOUSE/IN02 WALORSKI FALSE ATTACKS,buRNAu7flVQ,1,1,1,1,1
HOUSE/IN02 WALORSKI HOOSIERS WEIGH IN,uPqSYa2QHLQ,1,1,0,0,0
HOUSE/IN02 WALORSKI LISA WILKEN,c8W85wUhZPs,1,0,1,1,0
HOUSE/IN02 WALORSKI MARTHA,fDzhbAlQM3w,1,0,1,0,0
HOUSE/IN02 WALORSKI MEDICAL DEVICES,DehY-fsyQDs,1,0,1,0,0
HOUSE/IN02 WALORSKI ON OUR SIDE,Bte-2itzfyk,1,1,1,1,0
HOUSE/IN02 WALORSKI ONE OF US,-mXLGUvh-u4,1,0,1,1,0
HOUSE/IN02 WALORSKI PROMISED,e8j9xjFsuzw,1,0,1,0,0
HOUSE/IN02 WALORSKI THE DIFFERENCE,45raGSWyez8,0,1,1,0,1
HOUSE/IN02 WALORSKI WORK ACROSS THE AISLE,zG7M1qmphgk,0,1,0,1,1
HOUSE/IN02 WALORSKI&NRCC AFTER FIVE YEARS,3hPPAWaN4rA,1,1,0,0,1
HOUSE/IN08 BUCSHON DEFIBRILLATOR,3X8moK3Q1HE,1,1,0,0,0
HOUSE/IN08 BUCSHON NOT A POLITICIAN,rYjSLvWiiuY,0,1,1,1,1
HOUSE/IN08 BUCSHON OATH,aSyJhccZnPw,0,0,1,1,0
HOUSE/IN08 BUCSHON SACRED,FQQ_AU146VA,0,1,0,0,1
HOUSE/IN08 CROOKS CHINA,m3YyKME0HlI,0,0,1,1,0
HOUSE/IN08 CROOKS DIFFERENCE ON JOBS,KGJYn5GBR-o,1,0,1,0,1
HOUSE/IN08 CROOKS HOOSIER STORY,2hCgdJnyKZ8,0,0,1,0,0
HOUSE/IN08 CROOKS HOW MANY YEARS,-uHww3NyRDA,0,0,0,1,1
HOUSE/IN08 CROOKS PAKISTAN DISGUSTING,KPKuBn9Abqo,1,0,0,0,1
HOUSE/IN08 CROOKS&DCCC ROMNEY AND OBAMA,OBBsIUiI3HM,1,1,0,1,1
HOUSE/IN09 YODER FOR GENERATIONS,tBR7m4syIMI,1,0,1,0,0
HOUSE/IN09 YODER YOUNG COMPROMISE DIRTY WORD,d2sVO21bNVU,1,1,1,0,1
HOUSE/IN09 YOUNG CALL IT OBAMACARE,kE9kaOhaJJ0,1,1,1,0,1
HOUSE/IN09 YOUNG THIS PLANT HELPED,96GizktJJGc,0,0,1,0,1
HOUSE/IN09 YOUNG YOU DON'T JUST HAVE A CONGRESSMAN,Each3d8gbVY,1,0,1,0,0
HOUSE/KS02 JENKINS 1 IN 5 AMERICANS,3Uw21yz86X0,1,0,1,1,1
HOUSE/KS02 JENKINS EVERY 9 SECONDS,WkvX1oJ8lU4,1,0,1,0,1
HOUSE/KS02 JENKINS MY WHOLE LIFE,RyUMxk6-D2E,1,0,1,1,0
HOUSE/KS03 YODER GOOD LEADERSHIP,UlZ5l_feDjg,1,0,1,1,0
HOUSE/KS03 YODER PROUD,kOFqeK3cjxQ,1,0,1,0,0
HOUSE/KS03 YODER SUPPORT US,ndTcYTEGlv0,1,0,1,0,0
HOUSE/KY06 BARR BETTER FUTURE,jmiihCCTPuE,1,0,1,0,0
HOUSE/KY06 BARR CAROL BARR,T5dYE3wIp34,1,0,1,0,0
HOUSE/KY06 BARR CHANDLER LIES TO KEEP HIS JOB,sJjJkjLryZw,1,1,0,0,1
HOUSE/KY06 BARR COAL MINERS SPEAK OUT,qi53_ma6Hd0,1,0,0,0,1
HOUSE/KY06 BARR DEVASTATING,LjYk6R4SHt0,1,0,0,1,0
HOUSE/KY06 BARR DISTORING FACTS,9xpEMxEVNGw,1,1,1,0,1
HOUSE/KY06 BARR DISTORTING THE FACTS,D4oeIF7FP08,1,1,1,0,1
HOUSE/KY06 BARR I'VE SAID FOR WEEKS NOW 60,_9N5UjN3n34,1,0,1,1,0
HOUSE/KY06 BARR MADE A MISTAKE IT WAS DUMB,s3eKepOKCFs,1,0,1,0,0
HOUSE/KY06 BARR SAVES IT,esCXucIlU-8,1,0,1,0,0
HOUSE/KY06 BARR SMALL BUSINESSES,2KMbRsHt5Vg,1,0,1,0,0
HOUSE/KY06 BARR SOME SCARS,sgp0bhFrC9I,1,0,1,0,0
HOUSE/KY06 BARR TEACHING OUR GIRLS,9BinLiMgHK0,1,0,1,0,0
HOUSE/KY06 BARR THOMAS RICHARDS,7qlq8881KSA,1,0,1,0,0
HOUSE/KY06 BARR WASHINGTON IS BROKEN,EMZQMmM7nQ0,1,1,1,0,1
HOUSE/KY06 BARR&NRCC ECONOMY STRUGGLING,bB0QrShwGKM,0,0,1,0,0
HOUSE/KY06 CHANDLER BARR WHAT'S REALLY DUMB,TMstSkLZZcY,1,1,0,0,1
HOUSE/KY06 CHANDLER BELIEF,RaA3R1Zr4fM,1,0,1,1,0
HOUSE/KY06 CHANDLER BICKERING KIDS,Hu2Xyv-hfBY,1,0,1,0,0
HOUSE/KY06 CHANDLER BIG LIE,Nbv2lfWrnWc,1,0,1,0,0
HOUSE/KY06 CHANDLER BOB ORBACH,9zEWzAF0B98,1,1,0,1,1
HOUSE/KY06 CHANDLER GINGER SANDERS,bMWAh-enazU,1,1,0,1,1
HOUSE/KY06 CHANDLER HAPPY CHANDLER ALWAYS LOOKED OUT,lztvxPhCUfM,1,0,1,1,0
HOUSE/KY06 CHANDLER JOBS AT RISK,mYsGOCxR8wk,0,0,1,0,0
HOUSE/KY06 CHANDLER PROBLEM,inAhj737QMk,1,1,0,0,1
